Report,description
'I planned to end my life at 16 but I'm still here',"Chelsea, from Nottingham, experienced low mood, anxiety and self-harm."
How England's 14 men whipped up Twickenham crowd with stirring display,England shred the script that came with Charlie Ewels' early red card with a performance of ferocious defence and unstinting belief.
The Open: Rory McIlroy and Viktor Hovland share lead at St Andrews after third round,Rory McIlroy and Viktor Hovland take a four-shot lead into the final round of the 150th Open Championship after a scintillating duel over the Old Course.
Real Madrid 2-0 Eintracht Frankfurt: Karim Benzema scores 324th goal for Real in Super Cup win,Karim Benzema continues his Ballon d'Or pursuit with a landmark 324th goal for Real Madrid to help them beat Eintracht Frankfurt in the Uefa Super Cup.
The Papers: Boris dossier and judges 'to back down' on Rwanda,The papers lead with European courts looking at the Rwanda plan and Boris Johnson's Partygate defence.
Queen pulls out of attending Commonwealth Service,"The Queen will not attend next week's service at Westminster Abbey, Buckingham Palace says."
Mosque fire suspect arrested over second attack,A man accused of setting a pensioner on fire as he left a Birmingham mosque is held over an attack in west London.
World Cup 2022: Belgium to drop 'love' from away shirts in Qatar,"Belgium will not wear their white away shirts with the word ""love"" on the collar in the group stage of the World Cup following a discussion with Fifa."
What are the UK's Living with Covid plans?,Scotland and Wales will follow England and Northern Ireland and lift most remaining Covid rules.
Soho's streets turned into new London art gallery,The Soho roads off Oxford Street will host rotating permanent art run by The Photographers' Gallery.
The Papers: 'Cruise ships' to house migrants and new NHS cash,Wednesday's headlines include new plans to house migrants on cruise ships and fresh cash for the NHS.
Pay gap from bosses to staff to widen - think tank,The High Pay Centre says pay gaps were the greatest in the retail sector in the early months of 2022.
Local elections: Children urge action to save wildlife,Children and young people press local election candidates for action on wildlife extinction.
Climate change: Is the UK on track to meet its targets?,The government has until the end of March to come up with a revised net zero strategy.
Trump investigation: Empty folders marked classified found at Mar-a-Lago,An inventory shows dozens of empty folders were seized from Donald Trump's home after an FBI search.
Jim Ratcliffe: Who is the man bidding for Man Utd?,"One of the UK's richest men, Sir Jim has built a multi-billion pound business by buying unloved assets."
Shropshire baby deaths: The parents whose lives were changed forever,"""I can still hear them saying, we can't hear the heartbeat"" - one of the many parents on losing their child."
"More bus journeys taken since £2 fare cap, says watchdog",Transport Focus said the cap on bus fares attracted more users amid rising cost of living.
Mexico kidnapping: A twisted moral code explains cartel's apology,Mexico's criminal gangs adopt a warped code of ethics - and the kidnap of Americans broke the rules.
"Rail fares in England to rise below inflation rate, ministers say","The increase will also begin in March, rather than January, the government says."
Taliban schools U-turn 'a devastating day' for Afghan girls - Malala Yousafzai,"The Taliban’s U-turn on girls' high schools is heartbreaking, the Nobel Peace Prize laureate says."
Met Police: Where next for the force after Casey review?,"This is a merciless report, writes BBC correspondent Mark Easton. But what does the Met do now?"
Ukraine war: Why Kherson and Mariupol are key to Russian success,There are both strategic and historical reasons why the offensive in southern Ukraine is vital for Russia.
Heineken Champions Cup: Premiership cap hinders English teams - Alex Sanderson,Sale Sharks' Alex Sanderson says the lower Premiership salary cap is making it harder for English teams to compete with French sides in Europe.
Ukraine war: Protester exposes cracks in Kremlin's war message,Marina Ovsyannikova's moment of protest on TV was extraordinary - but she now faces prosecution.
Liz Truss vows to match Ukraine military support as politics returns,"Billions promised in military aid as the PM restarts her agenda, following mourning for the Queen."
Wales' population hits new high but growth is lowest,"Seven areas of Wales saw falls in population, as the first Census 2021 results are revealed."
How many Ukrainians have fled their homes and where have they gone?,The UN says more than 11 million people have fled their homes since the Russian invasion of Ukraine.
Deloitte report: European football has made 'significant recovery' after Covid pandemic,"European football market made ""a significant recovery"" in 2020-21, says finance company Deloitte."
Nigeria floods: 'Overwhelming' disaster leaves more than 600 people dead,"Nigeria is used to seasonal flooding, but this year has been significantly worse than usual."
Wimbledon: Emma Raducanu & Andy Murray set for Centre Court on day one,Britain's Emma Raducanu and Andy Murray are set for Centre Court when Wimbledon gets under way on Monday.
A journey to the site of the Nord Stream explosions,"As Sweden says the gas lines were blown up deliberately, our Europe editor reports from the scene."
Quiz of the week: Why was Lindsay Lohan in trouble?,How closely have you been paying attention to what's been going on over the past seven days?
Gracie Spinks: Receipt could have traced killer - family,A bag of weapons found before she died has been linked to killer Michael Sellers.
Supreme Court: What happens if Roe v Wade overturned?,Abortion restrictions could vary widely by state if the 50-year-old landmark ruling is reversed.
Chancellor warns of tax rises and squeeze on spending,"Jeremy Hunt warns of difficult decisions ahead, as he signals major changes to Liz Truss's economic plans."
Imran Khan ousted as Pakistan's PM after key vote,The former cricket star loses a no-confidence vote 13 hours after his party tried to delay it.
Artemis: Nasa's Orion capsule breaks distance record,The spacecraft travels further from Earth than any previous vehicle built for astronauts.
How Ukraine is winning the social media war,"Despite civilian and military bloodshed, Ukraine's online information war keeps a sense of humour."
"Flint: Arrest as missing girl, 12, found in Birmingham","A man is in custody following an ""intensive investigation"" involving two police forces."
France drought: Parched towns left short of drinking water,Trucks are supplying many parched French towns with drinking water after an exceptionally dry July.
Invergordon shed door marble bust could be sold,The sculpture of an 18th Century Highland laird was lost before it was found on an industrial estate.
'Massive toll' of living in a leasehold property,"Government reforms to ""fundamentally unfair"" system can't come soon enough for these home owners."
"Ukraine war: Put values over profits, Nato chief tells countries","Jens Stoltenberg says the Ukraine war has highlighted the cost of trade with ""authoritarian regimes""."
Buyers revive interest in city flats after return to office,"Interest in flats is overtaking demand for terraced homes with the return to office work, research suggests."
UK weather: How long will the cold snap last?,A visual guide to what is causing the cold weather across the UK and how unusual it is for temperatures to fall so low in December.
Hidilyn Diaz: From accusations of anti-government plot to historic Olympic gold,Hidilyn Diaz was accused of plotting against the Philippine government. Then she won her country's first Olympic gold.
Government to introduce independent football regulator in England after backing fan-led review,The government says it will establish an independent regulator in football after endorsing recommendations made in a fan-led review.
